_id__$oid,battery,height,volume,temperature,ReadingDateTime,environment,DATE,TIME,HOUR,,Hourly_averge_flow ,,
5da612812d5503000d311f3e,null,93,9300,null,1:37:14 AM,,10/21/2019,1:37:14 AM,1,1:37 AM,9400,,93
5da62090b84ced000d131024,null,95,9500,null,2:37:14 AM,,10/21/2019,2:37:14 AM,2,2:37 AM,9600,,95
5da62ea047ddba000dbbdd44,null,97,9700,null,3:37:14 AM,,10/21/2019,3:37:14 AM,3,3:37 AM,9700,,97
5da643b947ddba000dbbddbe,null,97,9700,null,4:37:14 AM,,10/21/2019,4:37:14 AM,4,4:37 AM,9650,,97
5da6440047ddba000dbbddc6,null,96,9600,null,5:37:14 AM,,10/21/2019,5:37:14 AM,5,5:37 AM,9600,,96
5da6440247ddba000dbbddc8,null,96,9600,null,6:37:14 AM,,10/21/2019,6:37:14 AM,6,6:37 AM,9600,,96
5da6440447ddba000dbbddca,null,96,9600,null,7:37:14 AM,,10/21/2019,7:37:14 AM,7,7:37 AM,9600,,96
5da6486847ddba000dbbde18,null,96,9600,null,8:37:14 AM,,10/21/2019,8:37:14 AM,8,8:37 AM,9600,,96
5da6486b47ddba000dbbde1a,null,96,9600,null,9:37:14 AM,,10/21/2019,9:37:14 AM,9,9:37 AM,9550,,96
5da6486c47ddba000dbbde1c,null,95,9500,null,10:37:14 AM,,10/21/2019,10:37:14 AM,10,10:37 AM,9500,,95
5da6486e47ddba000dbbde1e,null,95,9500,null,11:37:14 AM,,10/21/2019,11:37:14 AM,11,11:37 AM,9500,,95
5da6487047ddba000dbbde20,null,95,9500,null,12:37:14 PM,,10/21/2019,12:37:14 PM,12,12:37 PM,9450,,95
5da64ac547ddba000dbbde2e,null,94,9400,null,1:37:14 PM,,10/21/2019,1:37:14 PM,13,1:37 PM,9400,,94
5da64d1847ddba000dbbde3c,null,94,9400,null,2:37:14 PM,,10/21/2019,2:37:14 PM,14,2:37 PM,9400,,94
5da64f7047ddba000dbbde52,null,94,9400,null,3:37:14 PM,,10/21/2019,3:37:14 PM,15,3:37 PM,9350,,94
5da651c847ddba000dbbde68,null,93,9300,null,4:37:14 PM,,10/21/2019,4:37:14 PM,16,4:37 PM,9300,,93
5da6542047ddba000dbbde7a,null,93,9300,null,5:37:14 PM,,10/21/2019,5:37:14 PM,17,5:37 PM,9300,,93
5da6567847ddba000dbbde8e,null,93,9300,null,6:37:14 PM,,10/21/2019,6:37:14 PM,18,6:37 PM,9300,,93
5da658d147ddba000dbbdea0,null,93,9300,null,7:37:14 PM,,10/21/2019,7:37:14 PM,19,7:37 PM,9300,,93
5da65b2b47ddba000dbbdeb0,null,93,9300,null,8:37:14 PM,,10/21/2019,8:37:14 PM,20,8:37 PM,9300,,93
5da65d8047ddba000dbbdec6,null,93,9300,null,9:37:14 PM,,10/21/2019,9:37:14 PM,21,9:37 PM,9300,,93
5da65fd847ddba000dbbdeda,null,93,9300,null,10:37:14 PM,,10/21/2019,10:37:14 PM,22,10:37 PM,9250,,93
5da6623047ddba000dbbdee8,null,92,9200,null,11:37:14 PM,,10/21/2019,11:37:14 PM,23,11:37 PM,9200,,92
5da6648a47ddba000dbbdefc,null,92,9200,null,12:37:14 AM,,10/22/2019,12:37:14 AM,0,12:37 AM,9200,,92
5da666e047ddba000dbbdf10,null,92,9200,null,1:37:14 AM,,10/22/2019,1:37:14 AM,1,1:37 AM,9200,,92
5da6693947ddba000dbbdf1e,null,92,9200,null,2:37:14 AM,,10/22/2019,2:37:14 AM,2,2:37 AM,9200,,92
5da66b9347ddba000dbbdf34,null,92,9200,null,3:37:14 AM,,10/22/2019,3:37:14 AM,3,3:37 AM,9200,,92
5da66de847ddba000dbbdf46,null,92,9200,null,4:37:14 AM,,10/22/2019,4:37:14 AM,4,4:37 AM,9200,,92
5da6704047ddba000dbbdf56,null,92,9200,null,5:37:14 AM,,10/22/2019,5:37:14 AM,5,5:37 AM,9200,,92
5da6729947ddba000dbbdf6a,null,92,9200,null,6:37:14 AM,,10/22/2019,6:37:14 AM,6,6:37 AM,9200,,92
5da674f047ddba000dbbdf7e,null,92,9200,null,7:37:14 AM,,10/22/2019,7:37:14 AM,7,7:37 AM,9150,,92
5da6774947ddba000dbbdf8e,null,91,9100,null,8:37:14 AM,,10/22/2019,8:37:14 AM,8,8:37 AM,9050,,91
5da67bfb47ddba000dbbdfb4,null,90,9000,null,9:37:14 AM,,10/22/2019,9:37:14 AM,9,9:37 AM,9000,,90
5da67e5047ddba000dbbdfc6,null,90,9000,null,10:37:14 AM,,10/22/2019,10:37:14 AM,10,10:37 AM,9000,,90
5da680a847ddba000dbbdfd8,null,90,9000,null,11:37:14 AM,,10/22/2019,11:37:14 AM,11,11:37 AM,8950,,90
